number,a_text
1,"生命保険に加入する目的を明らかにすることが大切です
生命保険の主な機能には、万一の場合の死亡保障機能、病気やケガの入院費用や治療費用に対する保障機能、子供の教育資金や老後の生活資金といった長期的な貯蓄機能などがあります。生命保険を選ぶポイントは、家族構成や将来の生活設計から見て、必要な保障が必要な期間カバーされているか、という点にあります。そこで、保険商品を決定する際には、以下の点をチェックすることが重要です。ポイント1：自分や家族の必要とする保障が何かを確認します。保障ニーズを明らかにすることで、利用する生命保険の「主契約」と付加する「特約」の種類が絞られてきます。既に加入している生命保険があれば、その内容も確認します。ポイント2：保障を必要とする期間はいつまでかを考えます。ポイント3：保険金や給付金の額は適切かどうかを考えます。ポイント4：保険料の払込期間と払込金額は適切かどうかを考えます。あなたの保障ニーズは？※下図の「対応する主な保険種類（主契約）」の各項目は、該当する「主契約の種類」の各ページにリンクしています。保障ニーズの例保障期間・ニーズの内容対応する主な保険種類（主契約）死亡保障[死亡した場合の遺族保障]保障期間は一定の時期までで良い定期保険満期保険金を受け取りたい養老保険変額保険(有期型)保障期間は一生涯にしたい終身保険利率変動型積立終身保険変額保険(終身型)遺族保障と三大疾病の医療保障死亡とがん・急性心筋梗塞・脳卒中に備えたい特定疾病保障保険医療保障病気やケガに備えたい医療保険がんに備えたいがん保険就業不能保障長期入院時などの収入減少に備えたい就業不能保障保険介護保障介護に備えたい介護保険老後保障老後の生活費を確保したい個人年金保険変額個人年金保険保険種類の詳細については、生命保険会社・営業職員・保険代理店にご確認ください。※主契約と同じ内容で、特約として取り扱われているものもあります。"
2,"家族構成・現在の収入・資産状況・子どもの年齢などによって異なります
一家の働き手が死亡した場合、遺族保障のために必要な金額は、家族構成・現在の収入・資産状況・子どもの年齢などによって異なります。 一般的に参考にされるのは、いざという時に必要な遺族の生活費や別途必要資金の総額から、遺族年金・死亡退職金・預貯金などのあてにできる収入を差し引き、その不足分を必要保障額とする考え方です。これは「必要保障額積み上げ方式」と呼ばれ、 不足分については生命保険などで準備することになります。必要保障額積み上げ方式「必要保障額積み上げ方式」の算定は、次の5つのステップに従って行います。ステップ1：末子独立までの遺族の生活費の計算現在の生活水準をもとに、遺族が年間どのくらいの生活費を必要とするかを見積もります。末子が独立するまでの期間は、現在の生活費（消費支出）の約70％を目安とします。現在の年間生活費 × 70％ × （末子の独立時年齢 － 末子の現在年齢）ステップ2：末子独立後の配偶者の生活費の計算末子の独立後、配偶者が一人で平均余命まで生活する期間は、現在の生活費（消費支出）の約50％を目安とします。現在の年間生活費 × 50％ × 末子独立時の配偶者の平均余命関連データ：「主な年齢の平均余命」ステップ3：別途必要資金の計算子どもの教育資金や結婚資金（親の援助額）、住居費用、葬儀費用、相続費用、予備費など生活費以外で別途まとまって必要になる資金を見積もります。関連データ：「幼稚園の教育費」「小学校の教育費」「中学校の教育費」「高校の教育費」「大学の教育費」関連データ：「結婚費用の援助」関連データ：「リフォームの検討時期・工事費用の目安」関連データ：「葬儀費用」「墓地・墓石関係費用」ステップ4：収入見込遺族年金、死亡退職金や預貯金などの収入を見積もります。社会保障（遺族年金など）企業保障（会社員などの場合、死亡退職金・弔慰金など）自己資産（預貯金、有価証券、売却可能資産など）その他収入見込（配偶者の勤労収入など）生命保険（既加入分）関連データ：「遺族年金のめやす」関連データ：「1世帯あたりの金融資産」ステップ5：必要保障額の算定ステップ1からステップ4までの各数値から必要保障額を算定します。必要保障額（死亡保障の不足額＜目安＞）＝ 末子独立までの遺族の生活費 ＋ 末子独立後の配偶者の生活費 ＋ 別途必要資金 － 収入見込具体的な必要保障額の計算例「万一に備えるための保障額の具体例は？」"
3,"特別条件付きなどで契約できたり、限定告知型保険などを選ぶ方法もあります
現在の健康状態や過去の傷病歴などによっては、契約できない場合があります。生命保険は多数の人々がそれぞれの危険度（給付が生じる可能性の程度）に見合った保険料を出し合って保障しあう制度です。もし、健康状態の良くない人などが同じ条件で契約すると、契約者間での公平性が保てなくなります。そこで契約する際には、生命保険会社が申し込みを引き受けるかどうか判断できるよう、契約者（または被保険者）は被保険者の現在の健康状態、過去の傷病歴、職業などの事実をありのまま告知する義務（告知義務）があります。その結果、健康などに問題があった場合、生命保険会社ではその申し込みを引き受けないこともあります。ただし、その症状が治療を受けるほどでもない人や、病気が完治して一定の年数を経過した人などは無条件で契約できる場合があります。また、割増保険料や保険金の削減（※）など、特別条件を付けることにより契約できる場合があります。さらに、医療関係の特約を主契約に付加するケースでは、「特定部位不担保」という条件付きで契約できる場合もあります。これは、例えば3年前に胃かいようで入院したが、現在は完治しているという人に対して、特約は付けられるが、「胃」の病気で入院した場合は、入院給付金や手術給付金を契約時から一定期間内は支払わないというように、身体の一部分(部位)を特約の対象から外す（不担保にする）方法です。なお、健康状態に不安があっても契約しやすい限定告知型や引受基準緩和型などと呼ばれる保険（医療保険や終身保険など）、告知や診査が不要な無選択型の保険（終身保険や個人年金保険など）を取り扱う生命保険会社もあります。※保険金の削減被保険者が契約時から一定期間内（5年を超えることはありません）に死亡したときは、経過年数に応じた死亡保険金額を削減して支払うことです。したがって削減期間が過ぎてからの死亡については、保険金額全額が受け取れます。なお、不慮の事故などによる死亡・高度障害の場合は、削減期間中であっても保険金の全額が受け取れます。関連項目「Q.告知や医師の調査なしで契約できる生命保険とは？」「Q.健康状態に不安がある人でも、契約できる医療保険とは？」"
4,"生命保険会社に連絡して、改めて告知をし直す必要があります
告知を忘れていると保険金や給付金が受け取れない場合がありますので、生命保険会社に連絡して、改めて告知をし直す必要があります。生命保険を契約する際、契約者または被保険者は、過去の傷病歴（傷病名や治療期間など）、現在の健康状態、現在の職業などについて、告知書や生命保険会社の指定した医師の質問に、事実をありのまま告げる「告知義務」があります。故意または重大な過失で、事実を告知しなかったり、事実と異なる告知をしたなどの「告知義務違反」があった場合は、営業職員などから告知を妨げられたり、告知をしないことを勧められたときなどを除き、告知義務違反により契約・特約が解除となり、保険金・給付金が受け取れないことがあります（告知義務違反となった事実と支払事由との間に因果関係が認められない場合は受け取れます）。告知する相手は、生命保険会社（告知書）もしくは生命保険会社が指定した医師です。営業職員や保険代理店の担当者、生命保険面接士などに健康状態や傷病歴などを口頭で告げても告知したことにはなりません。告知義務違反について告知義務違反があった場合、責任開始日（復活の場合は復活日）から2年以内※であれば、生命保険会社は契約を解除することができます。※保険法では告知義務違反による解除について、「生命保険契約の締結のときから5年を経過したときは解除できない」と規定しています（第55条4項）。 一方、生命保険会社は約款で「責任開始日から2年を超えて有効に継続したときは保険契約を解除できない」と緩和しています。責任開始日から2年を経過していても、支払事由が2年以内に発生していた場合には、契約が解除されることがあります。告知義務違反の内容が特に重大な場合、詐欺による取消を理由として、保険金・給付金が支払われないことがあります。この場合は、告知義務違反による解除の対象外となる2年経過後の契約も取消となることがあります。告知義務違反による契約解除によって受け取れない例「慢性C型肝炎」による通院歴を告知書で正しく告知せずに契約し、契約1年後に「慢性C型肝炎」を原因とする「肝がん」で死亡した場合の死亡保険金※。※この例では、C型肝炎とは全く因果関係のない「胃がん」で死亡したようなケースでは死亡保険金を受け取れます。"
5,"所定の期間内に書面を郵送することで可能です
生命保険にも、「クーリング・オフ制度」があります。クーリング・オフ制度は、いったん申込んだ後でも申込みを撤回することができる制度です。一般的には、「クーリング・オフに関する書面※を受け取った日」または「申込日」のいずれか遅い日から、その日を含めて8日以内（10日、15日、30日等に延長している生命保険会社もあります）であれば、申込みを撤回することができます。撤回されると、既に払い込んだ保険料があるときは、保険料は全額返金されます。また、転換を利用した場合は、転換前の契約に戻すことができます。なお、新規に生命保険を契約した場合や転換した場合にはクーリング・オフ制度の対象になりますが、既にある契約に特約を中途付加した場合や更新などの場合は対象外です。※クーリング・オフに関する書面は、「注意喚起情報」「契約締結前交付書面」「ご契約のしおり・約款」である場合があります。どの書面であるかについては、注意喚起情報に記載されています。手続きクーリング・オフの手続きは、生命保険会社の本社か支社あてに、書面を郵送することによって行います。生命保険会社のホームページや契約者のマイページなどから、WEB申請できる場合などもあります。書面の場合は、念のためコピーを手元に残しておきましょう。書面に記載する内容は「ご契約のしおり」や生命保険会社のホームページなどで確認できます。クーリング・オフ申出の記入例○○生命保険相互（株式）会社御中私は〇月〇日に申込んだ下記契約の申込みを撤回します。申込者　　　　文化千太保険種類　　　終身保険毎回の保険料　12,345円住所　東京都千代田区丸の内3-4-1氏名　文化千太・書面を郵送する場合のクーリング・オフの申出日は、郵便局の消印をもって判定されます。次のような場合、クーリング・オフ制度は適用されません。契約にあたって医師による診査を受けた場合保険期間が１年以内の契約の場合　など注：クーリング・オフの取扱いは、生命保険会社・商品・払込方法などによって異なりますので、詳細は生命保険会社に確認してください。"
6,"「復活」により戻せる場合があります
「復活」という制度を利用して、もとに戻すことができます。これは、一度失効した契約を再び有効にする制度で、失効しても3年以内など所定の期間内であれば、契約者の申し出により、失効していた期間の保険料を払い込むことで、復活することができます（延滞利息の払込みが必要な生命保険会社もあります）。ただし、あらためて健康状態などについて告知または診査を受ける必要があるため、その結果によっては復活できない場合があります。復活は以前の契約をもとの状態に戻すわけですから、保険料や契約内容は失効する前と同じです。ただし、復活した場合の保障は復活日から始まるため、失効期間中の病気やケガなどは保障されません。なお、解約した場合は復活することができませんので、十分注意してください。※復活を取り扱わない生命保険会社・保険商品もあります。"
7,"一般的に「告知・診査日」「第1回保険料充当金の払込日」の遅い日から保障が始まります
生命保険契約による保障を受けるためには、「ステップ1契約申込み［申込書への署名（押印が必要な場合もあります）]」「ステップ2告知・診査」「ステップ3第1回保険料充当金の払込み」までの手続きが終了し、生命保険会社が契約を承諾する必要があります。生命保険会社が契約を承諾した場合、契約上の責任を開始する時期（これを「責任開始期（日）」といいます）は、通常「ステップ2 告知・診査日」「ステップ3 第1回保険料充当金の払込日」のいずれか遅い方にさかのぼって、保障が開始されます。生命保険会社によっては、「ステップ3 第1回保険料充当金の払込み」を口座振替にする取扱いがあります。その場合は、口座からの引落しを待たずに、ステップ1、2の2つが完了した時点にさかのぼって保障が開始されます。保障を受けられるかどうかをみる際、責任開始期(日)は重要です。高度障害保険金や入院給付金など(死亡保険金は除きます)は、責任開始期(日)前に生じた病気やケガを原因とする場合、健康状態などを契約時などに正しく告知していても、約款に特に定めがない限り受け取れないのが一般的です（生命保険会社や契約の時期にもよりますので、「ご契約のしおり・約款」などで確認が必要です）。なお、失効後に復活した契約の場合、復活日が責任開始期(日)となります。〔契約の申込みから成立までの一般的な手続き〕"
8,"健康な人向けの保険料率の適用など数パターンがあります
生命保険会社によっては、以下のような商品や制度を取り扱っています。「優良体（健康体）料率」を適用する生命保険身長・体重・血圧・尿検査等について一定の基準を満たしている場合、通常より安い保険料率を適用します。定期保険や収入保障保険などで取り扱われています。「非喫煙者料率」を適用する生命保険過去1年間（2年間とする生命保険会社もあります）煙草を吸っていない場合、通常より安い保険料率を適用します。定期保険や収入保障保険などで取り扱われています。※上記「優良体（健康体）料率」と「非喫煙者料率」の組み合わせによって、より安い保険料率が適用される場合もあります。※これらのほか、保険契約後の健康状態や、健康増進への取組みによって保険料の割引や還付金などがある「健康増進型保険」を取り扱う生命保険会社もあります。死亡時の給付金をなくした生命保険や、「無解約返戻金型」、「低解約返戻金型」の生命保険医療保険やがん保険で死亡時の給付金や解約時の返戻金をなくしたり、低く設定することにより保険料を割安にします。定期保険や収入保障保険などで解約時の返戻金をなくしたり、低く設定することにより保険料を割安にします。終身保険で保険料払込期間中などの解約返戻金を低く設定することにより保険料を割安にします（低解約返戻金型終身保険）。通販・インターネット専用生命保険通信販売やインターネットを介することで、割安な保険料を設定します。高額契約を対象とする割引制度契約する保険金額が一定金額以上の場合、高額割引などとして保険料を割り引きます。※取扱内容は生命保険会社によって異なります。"
9,"生命保険会社が定める所定の障害状態になると、以後の保険料払込みが免除されます
生命保険は、一般的に被保険者（こども保険の場合は契約者）が不慮の事故に遭い、事故の日からその日を含めて180日以内に、約款に定められた所定の障害状態になると、以後の保険料払込みが免除されます。また、特約を付加することや、保険種類によっては、主に次のような取扱いがあります。保険料払込免除特約この特約を付加することにより、3大疾病・身体障害・要介護状態などにより一定の状態になったとき、以後の保険料の払込みが免除されます。なお、免除となる要件などは生命保険会社によって異なります。こども保険契約者（一般的には被保険者の親）が死亡したり、高度障害状態や不慮の事故で所定の障害状態になったとき、一般的に以後の保険料の払込みが免除されます。個人年金保険被保険者が保険料払込期間中に高度障害状態や不慮の事故で所定の障害状態になったとき、以後の保険料の払込みが免除されます。なお、契約の際、健康状態に関する告知・診査のないタイプでは、一般的に保険料免除はありません。生命保険会社によっては、医療保険やがん保険などで高度障害状態や不慮の事故で所定の障害状態になった場合、保険料免除になる商品もあります。他にも、家族型の商品などで一定の条件によっては保険料免除となる場合もありますので、約款などでよく確認してください。一般的に生命保険では、高度障害状態になった場合に死亡保険金と同額の高度障害保険金が支払われ、契約は消滅します。保険料の払込みが免除となる場合は、契約は継続するため、高度障害保険金は支払われません。"
10,"一般的に「自動振替貸付制度」が適用されるか、「失効」するかのいずれかです
保険料は、払込方法に応じた期日までに継続的に払い込む必要があります。払い込みが遅れて、払込猶予期間が経過すると一般的に自動振替貸付制度が適用されるか、そのまま失効するかのいずれかになります。定期保険や収入保障保険などは一般的に自動振替貸付制度の対象外です。また、自動振替貸付制度の対象になる生命保険でも、払込猶予期間が経過した際の解約返戻金によっては、保険料の立替えができずに失効することがあります。なお、アカウントやファンドなどと呼ばれる積立金のある利率変動型積立終身保険の場合、払込猶予期間を過ぎると積立金を活用して保険料に振り替えるのが一般的です。積立金が少額で、保険料の振替えができない場合、契約は失効します。関連項目「保険料の払込猶予期間と失効」"
